"","rules","support","confidence","coverage","lift","count"
"1","{기억.집중.가능.여부=어려움} => {만족감=불만족}",0.0506273508497378,0.321590512731078,0.157427998791972,1.46196845297105,1844
"2","{생활수준.변화=나빠짐} => {만족감=불만족}",0.0748153639184032,0.345549074308902,0.216511544902946,1.57088541357378,2725
"3","{소득.만족도=불만족} => {만족감=불만족}",0.11868874063092,0.359232175502742,0.330395629135436,1.63308955670699,4323
"4","{계층의식=빈곤층} => {만족감=불만족}",0.136918979765533,0.353612706516344,0.387200395354584,1.60754313647589,4987
"5","{생활수준.변화=나빠짐,기부경험=없음} => {만족감=불만족}",0.059962111852401,0.372505543237251,0.1609697169371,1.69343102862336,2184
"6","{기억.집중.가능.여부=가능,생활수준.변화=나빠짐} => {만족감=불만족}",0.0570518628339236,0.323424124513619,0.176399527770914,1.47030415466295,2078
"7","{자기개발.가능여부=가능,생활수준.변화=나빠짐} => {만족감=불만족}",0.0692968728550641,0.335237083277992,0.20671004585015,1.52400652574068,2524
"8","{계층의식=빈곤층,소득.만족도=불만족} => {만족감=불만족}",0.0832715591796392,0.448735019973369,0.18556955769706,2.03997449232277,3033
"9","{인간관계=보통,소득.만족도=불만족} => {만족감=불만족}",0.0632567333827527,0.383042394014963,0.165142904208879,1.74133214143871,2304
"10","{소득.만족도=불만족,혼인상태=기혼} => {만족감=불만족}",0.0667709963484611,0.334617501375894,0.199544244021635,1.52118987176912,2432
"11","{기부경험=없음,소득.만족도=불만족} => {만족감=불만족}",0.101364522417154,0.373873417721519,0.271119896768525,1.69964946251509,3692
"12","{기억.집중.가능.여부=가능,소득.만족도=불만족} => {만족감=불만족}",0.0890371468577547,0.336097004870971,0.264915026219696,1.52791577738584,3243
"13","{자기개발.가능여부=가능,소득.만족도=불만족} => {만족감=불만족}",0.107953765477857,0.348519765998936,0.309749334211899,1.58439034410625,3932
"14","{인간관계=보통,계층의식=빈곤층} => {만족감=불만족}",0.0751448260714384,0.37212780421482,0.20193284463114,1.69171380590569,2737
